Duration,Total_Number_Of_Vehicle,Total_Risky_Deceleration_Count,Total_Number_Of_Risky_Decelerated_Car
10.0,8,0,0
20.0,8,0,0
30.0,12,0,0
40.0,12,1,1
50.0,20,1,1
60.0,20,1,1
70.0,24,2,2
80.0,24,2,2
90.0,32,2,2
100.0,32,2,2
110.0,36,3,3
120.0,36,3,3
130.0,44,3,3
140.0,44,3,3
150.0,48,4,4
160.0,48,4,4
170.0,56,5,5
180.0,56,5,5
190.0,60,6,6
200.0,60,9,8
210.0,60,10,9
220.0,60,10,9
230.0,60,10,9
240.0,60,10,9
250.0,60,10,9
260.0,60,10,9
270.0,60,10,9
280.0,60,10,9
290.0,60,10,9
300.0,60,10,9
310.0,60,10,9
10.0,60,20,16
